店名,住所,カテゴリ,備考
袖ケ浦公園,,rest,
袖ケ浦駅北口広場,,rest,
道祖公園,,rest,
袖ケ浦海浜公園,,rest,
代宿公園,,rest,
坂戸の森公園,,rest,
蔵波公園,,rest,
新堰公園,,rest,
セブンイレブン 袖ケ浦駅北口店,,shopping,
セブンイレブン 袖ケ浦上泉店,,shopping,
セブンイレブン 袖ケ浦市役所北店,,shopping,
ローソン袖ケ浦駅前店,,shopping,
セブンイレブン 袖ケ浦のぞみ野通り北店,,shopping,
セブンイレブン 袖ケ浦駅前通り店,,shopping,
セブンイレブン 袖ケ浦今井店,,shopping,
ミニストップ 袖ケ浦菅野店,,shopping,
セブンイレブン 袖ケ浦奈良輪店,,shopping,
ローソン袖ケ浦山小川店,,shopping,
生鮮スーパー富分 のぞみ野店,,shopping,
Sendo 袖ケ浦駅前店,,shopping,
スーパーいとう,,shopping,
主婦の店 福王台店,,shopping,
主婦の店 長浦店,,shopping,
尾張屋 横田店,,shopping,
イオン長浦店,,shopping,
尾張屋 蔵波台店,,shopping,
袖ケ浦駅,,transit,
太陽食堂,,dining,
富士食堂,,dining,
鶴屋,,dining,
ゆき,,dining,
デニーズ 袖ケ浦店,,dining,
サイゼリヤ 袖ケ浦駅前店,,dining,
夢庵 袖ケ浦店,,dining,
ガスト 袖ケ浦店,,dining,
サイゼリヤ 蔵波台店,,dining,
あすみ堂,袖ケ浦市のぞみ野41-2,dining,
居酒屋蔵,袖ケ浦市蔵波台7丁目14-12,dining,
魚喜,袖ケ浦市福王台1-27-11,shopping,
寿ラーメン,袖ケ浦市坂戸市場1439-8,dining,
若奈寿司,袖ケ浦市神納809-8,dining,
レストラン菜心味 袖ケ浦駅前店,袖ケ浦市福王台1丁目1-4,dining,
藤鮨,袖ケ浦市福王台1-13-1,dining,
SAPANA袖ヶ浦駅前店,袖ケ浦市袖ケ浦駅前1-39-12,dining,
三育フーズストア売店,袖ケ浦市長浦1-1-65,shopping,
tassoの森,袖ケ浦市上泉1197,shopping,
大衆中華ホサナ,袖ケ浦市蔵波台2-23-23,dining,
ゆりの里,袖ケ浦市飯富1635-1,shopping,
福原製茶工場,袖ケ浦市下泉787,shopping,
山本製茶,袖ケ浦市川原井1790,shopping,
ローズヒップ&プランツ,袖ケ浦市蔵波2887-1,dining,
からあげ大将亭長浦店,袖ケ浦市蔵波台4-12-7,dining,
OLLIE SWEETS,袖ケ浦市福王台1-13-1,dining,
オーリーブレッド,袖ケ浦市福王台1-13-1,dining,
田中商店,袖ケ浦市今井2-122,shopping,
旅人カフェぐりーちね,袖ケ浦市下根岸285-2,dining,
露﨑味噌・糀店,袖ケ浦市横田4211,shopping,
天然温泉湯舞音袖ケ浦店,袖ケ浦市袖ケ浦駅前1-39-15,leisure,
日本料理天麩羅ありはら,袖ケ浦市今井1-1-33,dining,
パティスリーキャンジュール,袖ケ浦市蔵波台7-14-12,dining,
ヒルカフェ/ヨルイザカヤゴッチ,袖ケ浦市袖ケ浦駅前1丁目39-12,dining,
ホルモン焼肉てっちゃん,袖ケ浦市奈良輪10,dining,
房州魚料理わかせい,袖ケ浦市福王台2-12-16,dining,
Resthouse Ayame,袖ケ浦市飯富2360,dining,
Rond○Rond,袖ケ浦市蔵波2751-1,dining,
garden,袖ケ浦市蔵波台6-1-10,dining,
K's curry,袖ケ浦市蔵波台7-14-13,dining,
袖ケ浦市外野落花生生産組合,袖ケ浦市蔵波3108,shopping,
定度ラーメン,袖ケ浦市上泉1345,dining,
JUNSE KIMPPA,袖ケ浦市蔵波10-1,dining,
ガウラーベリーかねこ農園,袖ケ浦市蔵波3311,leisure,
あづフラワー,袖ケ浦市蔵波722,leisure,
ICHIGOYA・SUN,袖ケ浦市三箇2088,leisure,
奥野農園,袖ケ浦市蔵波1006,leisure,
上泉農園,袖ケ浦市上泉1138,leisure,
麺処霧笛,袖ケ浦市神納1-7-18,dining,
インド料理チャダニー,袖ケ浦市蔵波台2-23-1,dining,
のうえんカフェ,袖ケ浦市上泉1197,dining,
おいしいお菓子の店 大原軒,袖ケ浦市坂戸市場,dining,
さわ屋,袖ケ浦市横田2159-1,dining,
四川大飯店ときわ,袖ケ浦市横田2255,dining,
あじさい,袖ケ浦市横田2006,dining,
加登栄,袖ケ浦市横田2658-3,dining,
ぐりて,袖ケ浦市横田1934-2,dining,
信寿し,袖ケ浦市横田3737-7,dining,
とんとん,袖ケ浦市横田4080,dining,
kitchen DonDon,袖ケ浦市横田440,dining,
JACQUEs,袖ケ浦市横田33-1,dining,
Ozzi Coffee,袖ケ浦市横田2211,dining,
魚照,袖ケ浦市横田237-4,dining,
小沢製菓,袖ケ浦市横田198-3,shopping,
セブンイレブン袖ヶ浦東横田店,袖ケ浦市横田408,shopping,
横田ジャンボ,袖ケ浦市横田460,leisure,
横田駅,袖ケ浦市横田,transit,
東横田駅,袖ケ浦市横田,transit,
奈良輪豊月堂,袖ケ浦市坂戸市場1352-2,shopping,
おびつ川,袖ケ浦市坂戸市場2606-1,dining,
回転寿司やまと袖ヶ浦駅前店,袖ケ浦市袖ケ浦駅前1-39-1,dining,
魚民ゆりまち袖ケ浦駅前モール店,袖ケ浦市袖ケ浦駅前1-39-10,dining,
